T33,Net disbursements of official development assistance from donors,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
705,Slovenia,2022,Net official development assistance to developing countries and multilateral organizations (millions of US$),169,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
705,Slovenia,2023,Net official development assistance to developing countries and multilateral organizations (millions of US$),163,Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
705,Slovenia,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.11,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
705,Slovenia,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.13,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
705,Slovenia,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.37,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
705,Slovenia,2021,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.63,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
705,Slovenia,2022,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.03,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
724,Spain,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),169,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
724,Spain,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,348",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
724,Spain,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,018",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
724,Spain,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"5,949",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
724,Spain,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,397",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
724,Spain,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,358",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
724,Spain,2022,Net official development assistance to developing countries and multilateral organizations (millions of US$),"4,043",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
724,Spain,2023,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,596",Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
724,Spain,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.23,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
724,Spain,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.37,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
724,Spain,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.61,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
724,Spain,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.74,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
724,Spain,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.84,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
724,Spain,2021,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.52,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
724,Spain,2022,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.54,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
752,Sweden,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),566,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
752,Sweden,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),840,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
752,Sweden,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,704",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
752,Sweden,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,362",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
752,Sweden,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"4,533",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
752,Sweden,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"7,089",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
752,Sweden,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"5,934",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
752,Sweden,2022,Net official development assistance to developing countries and multilateral organizations (millions of US$),"5,458",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
752,Sweden,2023,Net official development assistance to developing countries and multilateral organizations (millions of US$),"5,466",Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
752,Sweden,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.04,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
752,Sweden,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.45,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
752,Sweden,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.00,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
752,Sweden,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.99,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
752,Sweden,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.10,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
752,Sweden,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),2.05,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
752,Sweden,2021,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.60,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
752,Sweden,2022,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.34,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
756,Switzerland,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),104,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
756,Switzerland,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),303,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
756,Switzerland,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,084",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
756,Switzerland,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,772",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
756,Switzerland,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,300",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
756,Switzerland,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,529",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
756,Switzerland,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,911",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
756,Switzerland,2022,Net official development assistance to developing countries and multilateral organizations (millions of US$),"4,496",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
756,Switzerland,2023,Net official development assistance to developing countries and multilateral organizations (millions of US$),"5,141",Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
756,Switzerland,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.25,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
756,Switzerland,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),2.58,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
756,Switzerland,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.34,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
756,Switzerland,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.93,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
756,Switzerland,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),4.01,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
756,Switzerland,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.94,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
756,Switzerland,2021,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.50,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
756,Switzerland,2022,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.74,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
764,Thailand,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),4,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
764,Thailand,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),62,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
764,Thailand,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),85,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
764,Thailand,2022,Net official development assistance to developing countries and multilateral organizations (millions of US$),72,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
764,Thailand,2023,Net official development assistance to developing countries and multilateral organizations (millions of US$),75,Estimate.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
764,Thailand,2021,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.02,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
764,Thailand,2022,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.01,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
626,Timor-Leste,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),4,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
792,Türkiye,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),107,"Türkiye reports support to refugees in Türkiye against type of aid C01 ""project-type interventions"" instead of H02 ""in-donor refugee costs"".","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
792,Türkiye,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),601,"Türkiye reports support to refugees in Türkiye against type of aid C01 ""project-type interventions"" instead of H02 ""in-donor refugee costs"".","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
792,Türkiye,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),967,"Türkiye reports support to refugees in Türkiye against type of aid C01 ""project-type interventions"" instead of H02 ""in-donor refugee costs"".","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
792,Türkiye,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,919","Türkiye reports support to refugees in Türkiye against type of aid C01 ""project-type interventions"" instead of H02 ""in-donor refugee costs"".","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
792,Türkiye,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"7,711","Türkiye reports support to refugees in Türkiye against type of aid C01 ""project-type interventions"" instead of H02 ""in-donor refugee costs"".","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
792,Türkiye,2022,Net official development assistance to developing countries and multilateral organizations (millions of US$),"7,116","Türkiye reports support to refugees in Türkiye against type of aid C01 ""project-type interventions"" instead of H02 ""in-donor refugee costs"".","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
792,Türkiye,2023,Net official development assistance to developing countries and multilateral organizations (millions of US$),"6,711","Estimate.;Türkiye reports support to refugees in Türkiye against type of aid C01 ""project-type interventions"" instead of H02 ""in-donor refugee costs"".","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
792,Türkiye,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.29,"Türkiye reports support to refugees in Türkiye against type of aid C01 ""project-type interventions"" instead of H02 ""in-donor refugee costs"".","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
792,Türkiye,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.23,"Türkiye reports support to refugees in Türkiye against type of aid C01 ""project-type interventions"" instead of H02 ""in-donor refugee costs"".","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
792,Türkiye,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.65,"Türkiye reports support to refugees in Türkiye against type of aid C01 ""project-type interventions"" instead of H02 ""in-donor refugee costs"".","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
792,Türkiye,2021,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.04,"Türkiye reports support to refugees in Türkiye against type of aid C01 ""project-type interventions"" instead of H02 ""in-donor refugee costs"".","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
792,Türkiye,2022,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.77,"Türkiye reports support to refugees in Türkiye against type of aid C01 ""project-type interventions"" instead of H02 ""in-donor refugee costs"".","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
784,United Arab Emirates,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,998","Data reported at activity level, represent flows from all government agencies.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
784,United Arab Emirates,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),366,"Data reported at activity level, represent flows from all government agencies.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
784,United Arab Emirates,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),243,"Data reported at activity level, represent flows from all government agencies.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
784,United Arab Emirates,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),510,"Data reported at activity level, represent flows from all government agencies.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
784,United Arab Emirates,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),414,"Data reported at activity level, represent flows from all government agencies.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
784,United Arab Emirates,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"4,381","Data reported at activity level, represent flows from all government agencies.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
784,United Arab Emirates,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,298","Data reported at activity level, represent flows from all government agencies.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
784,United Arab Emirates,2022,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,560","Data reported at activity level, represent flows from all government agencies.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
784,United Arab Emirates,2023,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,763","Estimate.;Data reported at activity level, represent flows from all government agencies.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
784,United Arab Emirates,2021,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.36,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
784,United Arab Emirates,2022,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.51,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
826,United Kingdom,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),904,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
826,United Kingdom,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,530",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
826,United Kingdom,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,202",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
826,United Kingdom,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"10,772",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
826,United Kingdom,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"13,053",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
826,United Kingdom,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"18,553",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
826,United Kingdom,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"16,278",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
826,United Kingdom,2022,Net official development assistance to developing countries and multilateral organizations (millions of US$),"15,761",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
826,United Kingdom,2023,Net official development assistance to developing countries and multilateral organizations (millions of US$),"18,662",Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
826,United Kingdom,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),2.79,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
826,United Kingdom,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.54,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
826,United Kingdom,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.19,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
826,United Kingdom,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.37,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
826,United Kingdom,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.12,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
826,United Kingdom,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.70,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
826,United Kingdom,2021,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.52,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
826,United Kingdom,2022,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.52,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
840,United States of America,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),"4,161",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
840,United States of America,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),"9,403",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
840,United States of America,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"7,367",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
840,United States of America,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"27,935",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
840,United States of America,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"29,656",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
840,United States of America,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"30,986",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
840,United States of America,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"47,528",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
840,United States of America,2022,Net official development assistance to developing countries and multilateral organizations (millions of US$),"60,329",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
840,United States of America,2023,Net official development assistance to developing countries and multilateral organizations (millions of US$),"65,887",Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
840,United States of America,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.13,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
840,United States of America,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.05,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
840,United States of America,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.65,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
840,United States of America,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.92,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
840,United States of America,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.48,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
