T28,Research and development (R&D) expenditure and researchers (full time equivalent),,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
53,Australia and New Zealand,2005,Gross domestic expenditure on R&D: as a percentage of GDP,1.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
53,Australia and New Zealand,2005,Researchers per million inhabitants (FTE),"4,020.5",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
53,Australia and New Zealand,2010,Gross domestic expenditure on R&D: as a percentage of GDP,2.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
53,Australia and New Zealand,2010,Researchers per million inhabitants (FTE),"4,454.2",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
53,Australia and New Zealand,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
53,Australia and New Zealand,2015,Researchers per million inhabitants (FTE),"4,976.4",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
53,Australia and New Zealand,2021,Gross domestic expenditure on R&D: as a percentage of GDP,1.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
53,Australia and New Zealand,2021,Researchers per million inhabitants (FTE),"4,695.9",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
8,Albania,2008,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
8,Albania,2008,Researchers per million inhabitants (FTE),157.6,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
12,Algeria,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
12,Algeria,2005,Researchers per million inhabitants (FTE),170.8,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
12,Algeria,2017,Gross domestic expenditure on R&D: as a percentage of GDP,0.5,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
12,Algeria,2017,Researchers per million inhabitants (FTE),832.4,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
